tag,pyradiomics_feature
morph_volume,3D_original_shape_MeshVolume
morph_vol_approx,3D_original_shape_VoxelVolume
morph_area_mesh,3D_original_shape_SurfaceArea
morph_av,3D_original_shape_SurfaceVolumeRatio
morph_comp_1,3D_original_shape_Compactness1
morph_comp_2,3D_original_shape_Compactness2
morph_sph_dispr,3D_original_shape_SphericalDisproportion
morph_sphericity,3D_original_shape_Sphericity
morph_diam,3D_original_shape_Maximum3DDiameter
morph_pca_maj_axis,3D_original_shape_MajorAxisLength
morph_pca_min_axis,3D_original_shape_MinorAxisLength
morph_pca_least_axis,3D_original_shape_LeastAxisLength
morph_pca_elongation,3D_original_shape_Elongation
morph_pca_flatness,3D_original_shape_Flatness
stat_mean,3D_original_firstorder_Mean
stat_var,3D_original_firstorder_Variance
stat_skew,3D_original_firstorder_Skewness
stat_kurt,3D_original_firstorder_Kurtosis
stat_median,3D_original_firstorder_Median
stat_min,3D_original_firstorder_Minimum
stat_p10,3D_original_firstorder_10Percentile
stat_p90,3D_original_firstorder_90Percentile
stat_max,3D_original_firstorder_Maximum
stat_iqr,3D_original_firstorder_InterquartileRange
stat_range,3D_original_firstorder_Range
stat_mad,3D_original_firstorder_MeanAbsoluteDeviation
stat_rmad,3D_original_firstorder_RobustMeanAbsoluteDeviation
stat_energy,3D_original_firstorder_Energy
stat_rms,3D_original_firstorder_RootMeanSquared
ih_entropy,3D_original_firstorder_Entropy
ih_uniformity,3D_original_firstorder_Uniformity
cm_joint_max_2_5D_avg,2D_original_glcm_MaximumProbability
cm_joint_avg_2_5D_avg,2D_original_glcm_JointAverage
cm_joint_var_2_5D_avg,2D_original_glcm_SumSquares
cm_joint_entr_2_5D_avg,2D_original_glcm_JointEntropy
cm_diff_avg_2_5D_avg,2D_original_glcm_DifferenceAverage
cm_diff_var_2_5D_avg,2D_original_glcm_DifferenceVariance
cm_diff_entr_2_5D_avg,2D_original_glcm_DifferenceEntropy
cm_sum_avg_2_5D_avg,2D_original_glcm_SumAverage
cm_sum_var_2_5D_avg,2D_original_glcm_ClusterTendency
cm_sum_entr_2_5D_avg,2D_original_glcm_SumEntropy
cm_energy_2_5D_avg,2D_original_glcm_JointEnergy
cm_contrast_2_5D_avg,2D_original_glcm_Contrast
cm_dissimilarity_2_5D_avg,2D_original_glcm_DifferenceAverage
cm_inv_diff_2_5D_avg,2D_original_glcm_Id
cm_inv_diff_norm_2_5D_avg,2D_original_glcm_Idn
cm_inv_diff_mom_2_5D_avg,2D_original_glcm_Idm
cm_inv_diff_mom_norm_2_5D_avg,2D_original_glcm_Idmn
cm_inv_var_2_5D_avg,2D_original_glcm_InverseVariance
cm_corr_2_5D_avg,2D_original_glcm_Correlation
cm_auto_corr_2_5D_avg,2D_original_glcm_Autocorrelation
cm_clust_tend_2_5D_avg,2D_original_glcm_ClusterTendency
cm_clust_shade_2_5D_avg,2D_original_glcm_ClusterShade
cm_clust_prom_2_5D_avg,2D_original_glcm_ClusterProminence
cm_info_corr1_2_5D_avg,2D_original_glcm_Imc1
cm_info_corr2_2_5D_avg,2D_original_glcm_Imc2
cm_joint_max_2_5D_comb,2D_Combined_original_glcm_MaximumProbability
cm_joint_avg_2_5D_comb,2D_Combined_original_glcm_JointAverage
cm_joint_var_2_5D_comb,2D_Combined_original_glcm_SumSquares
cm_joint_entr_2_5D_comb,2D_Combined_original_glcm_JointEntropy
cm_diff_avg_2_5D_comb,2D_Combined_original_glcm_DifferenceAverage
cm_diff_var_2_5D_comb,2D_Combined_original_glcm_DifferenceVariance
cm_diff_entr_2_5D_comb,2D_Combined_original_glcm_DifferenceEntropy
cm_sum_avg_2_5D_comb,2D_Combined_original_glcm_SumAverage
cm_sum_var_2_5D_comb,2D_Combined_original_glcm_ClusterTendency
cm_sum_entr_2_5D_comb,2D_Combined_original_glcm_SumEntropy
cm_energy_2_5D_comb,2D_Combined_original_glcm_JointEnergy
cm_contrast_2_5D_comb,2D_Combined_original_glcm_Contrast
cm_dissimilarity_2_5D_comb,2D_Combined_original_glcm_DifferenceAverage
cm_inv_diff_2_5D_comb,2D_Combined_original_glcm_Id
cm_inv_diff_norm_2_5D_comb,2D_Combined_original_glcm_Idn
cm_inv_diff_mom_2_5D_comb,2D_Combined_original_glcm_Idm
cm_inv_diff_mom_norm_2_5D_comb,2D_Combined_original_glcm_Idmn
cm_inv_var_2_5D_comb,2D_Combined_original_glcm_InverseVariance
cm_corr_2_5D_comb,2D_Combined_original_glcm_Correlation
cm_auto_corr_2_5D_comb,2D_Combined_original_glcm_Autocorrelation
cm_clust_tend_2_5D_comb,2D_Combined_original_glcm_ClusterTendency
cm_clust_shade_2_5D_comb,2D_Combined_original_glcm_ClusterShade
cm_clust_prom_2_5D_comb,2D_Combined_original_glcm_ClusterProminence
cm_info_corr1_2_5D_comb,2D_Combined_original_glcm_Imc1
cm_info_corr2_2_5D_comb,2D_Combined_original_glcm_Imc2
cm_joint_max_3D_avg,3D_original_glcm_MaximumProbability
cm_joint_avg_3D_avg,3D_original_glcm_JointAverage
cm_joint_var_3D_avg,3D_original_glcm_SumSquares
cm_joint_entr_3D_avg,3D_original_glcm_JointEntropy
cm_diff_avg_3D_avg,3D_original_glcm_DifferenceAverage
cm_diff_var_3D_avg,3D_original_glcm_DifferenceVariance
cm_diff_entr_3D_avg,3D_original_glcm_DifferenceEntropy
cm_sum_avg_3D_avg,3D_original_glcm_SumAverage
cm_sum_var_3D_avg,3D_original_glcm_ClusterTendency
cm_sum_entr_3D_avg,3D_original_glcm_SumEntropy
cm_energy_3D_avg,3D_original_glcm_JointEnergy
cm_contrast_3D_avg,3D_original_glcm_Contrast
cm_dissimilarity_3D_avg,3D_original_glcm_DifferenceAverage
cm_inv_diff_3D_avg,3D_original_glcm_Id
cm_inv_diff_norm_3D_avg,3D_original_glcm_Idn
cm_inv_diff_mom_3D_avg,3D_original_glcm_Idm
cm_inv_diff_mom_norm_3D_avg,3D_original_glcm_Idmn
cm_inv_var_3D_avg,3D_original_glcm_InverseVariance
cm_corr_3D_avg,3D_original_glcm_Correlation
cm_auto_corr_3D_avg,3D_original_glcm_Autocorrelation
cm_clust_tend_3D_avg,3D_original_glcm_ClusterTendency
cm_clust_shade_3D_avg,3D_original_glcm_ClusterShade
cm_clust_prom_3D_avg,3D_original_glcm_ClusterProminence
cm_info_corr1_3D_avg,3D_original_glcm_Imc1
cm_info_corr2_3D_avg,3D_original_glcm_Imc2
cm_joint_max_3D_comb,3D_Combined_original_glcm_MaximumProbability
cm_joint_avg_3D_comb,3D_Combined_original_glcm_JointAverage
cm_joint_var_3D_comb,3D_Combined_original_glcm_SumSquares
cm_joint_entr_3D_comb,3D_Combined_original_glcm_JointEntropy
cm_diff_avg_3D_comb,3D_Combined_original_glcm_DifferenceAverage
cm_diff_var_3D_comb,3D_Combined_original_glcm_DifferenceVariance
cm_diff_entr_3D_comb,3D_Combined_original_glcm_DifferenceEntropy
cm_sum_avg_3D_comb,3D_Combined_original_glcm_SumAverage
cm_sum_var_3D_comb,3D_Combined_original_glcm_ClusterTendency
cm_sum_entr_3D_comb,3D_Combined_original_glcm_SumEntropy
cm_energy_3D_comb,3D_Combined_original_glcm_JointEnergy
cm_contrast_3D_comb,3D_Combined_original_glcm_Contrast
cm_dissimilarity_3D_comb,3D_Combined_original_glcm_DifferenceAverage
cm_inv_diff_3D_comb,3D_Combined_original_glcm_Id
cm_inv_diff_norm_3D_comb,3D_Combined_original_glcm_Idn
cm_inv_diff_mom_3D_comb,3D_Combined_original_glcm_Idm
cm_inv_diff_mom_norm_3D_comb,3D_Combined_original_glcm_Idmn
cm_inv_var_3D_comb,3D_Combined_original_glcm_InverseVariance
cm_corr_3D_comb,3D_Combined_original_glcm_Correlation
cm_auto_corr_3D_comb,3D_Combined_original_glcm_Autocorrelation
cm_clust_tend_3D_comb,3D_Combined_original_glcm_ClusterTendency
cm_clust_shade_3D_comb,3D_Combined_original_glcm_ClusterShade
cm_clust_prom_3D_comb,3D_Combined_original_glcm_ClusterProminence
cm_info_corr1_3D_comb,3D_Combined_original_glcm_Imc1
cm_info_corr2_3D_comb,3D_Combined_original_glcm_Imc2
rlm_sre_2_5D_avg,2D_original_glrlm_ShortRunEmphasis
rlm_lre_2_5D_avg,2D_original_glrlm_LongRunEmphasis
rlm_lgre_2_5D_avg,2D_original_glrlm_LowGrayLevelRunEmphasis
rlm_hgre_2_5D_avg,2D_original_glrlm_HighGrayLevelRunEmphasis
rlm_srlge_2_5D_avg,2D_original_glrlm_ShortRunLowGrayLevelEmphasis
rlm_srhge_2_5D_avg,2D_original_glrlm_ShortRunHighGrayLevelEmphasis
rlm_lrlge_2_5D_avg,2D_original_glrlm_LongRunLowGrayLevelEmphasis
rlm_lrhge_2_5D_avg,2D_original_glrlm_LongRunHighGrayLevelEmphasis
rlm_glnu_2_5D_avg,2D_original_glrlm_GrayLevelNonUniformity
rlm_glnu_norm_2_5D_avg,2D_original_glrlm_GrayLevelNonUniformityNormalized
rlm_rlnu_2_5D_avg,2D_original_glrlm_RunLengthNonUniformity
rlm_rlnu_norm_2_5D_avg,2D_original_glrlm_RunLengthNonUniformityNormalized
rlm_r_perc_2_5D_avg,2D_original_glrlm_RunPercentage
rlm_gl_var_2_5D_avg,2D_original_glrlm_GrayLevelVariance
rlm_rl_var_2_5D_avg,2D_original_glrlm_RunVariance
rlm_rl_entr_2_5D_avg,2D_original_glrlm_RunEntropy
rlm_sre_2_5D_comb,2D_Combined_original_glrlm_ShortRunEmphasis
rlm_lre_2_5D_comb,2D_Combined_original_glrlm_LongRunEmphasis
rlm_lgre_2_5D_comb,2D_Combined_original_glrlm_LowGrayLevelRunEmphasis
rlm_hgre_2_5D_comb,2D_Combined_original_glrlm_HighGrayLevelRunEmphasis
rlm_srlge_2_5D_comb,2D_Combined_original_glrlm_ShortRunLowGrayLevelEmphasis
rlm_srhge_2_5D_comb,2D_Combined_original_glrlm_ShortRunHighGrayLevelEmphasis
rlm_lrlge_2_5D_comb,2D_Combined_original_glrlm_LongRunLowGrayLevelEmphasis
rlm_lrhge_2_5D_comb,2D_Combined_original_glrlm_LongRunHighGrayLevelEmphasis
rlm_glnu_2_5D_comb,2D_Combined_original_glrlm_GrayLevelNonUniformity
rlm_glnu_norm_2_5D_comb,2D_Combined_original_glrlm_GrayLevelNonUniformityNormalized
rlm_rlnu_2_5D_comb,2D_Combined_original_glrlm_RunLengthNonUniformity
rlm_rlnu_norm_2_5D_comb,2D_Combined_original_glrlm_RunLengthNonUniformityNormalized
rlm_r_perc_2_5D_comb,2D_Combined_original_glrlm_RunPercentage
rlm_gl_var_2_5D_comb,2D_Combined_original_glrlm_GrayLevelVariance
rlm_rl_var_2_5D_comb,2D_Combined_original_glrlm_RunVariance
rlm_rl_entr_2_5D_comb,2D_Combined_original_glrlm_RunEntropy
rlm_sre_3D_avg,3D_original_glrlm_ShortRunEmphasis
rlm_lre_3D_avg,3D_original_glrlm_LongRunEmphasis
rlm_lgre_3D_avg,3D_original_glrlm_LowGrayLevelRunEmphasis
rlm_hgre_3D_avg,3D_original_glrlm_HighGrayLevelRunEmphasis
rlm_srlge_3D_avg,3D_original_glrlm_ShortRunLowGrayLevelEmphasis
rlm_srhge_3D_avg,3D_original_glrlm_ShortRunHighGrayLevelEmphasis
rlm_lrlge_3D_avg,3D_original_glrlm_LongRunLowGrayLevelEmphasis
rlm_lrhge_3D_avg,3D_original_glrlm_LongRunHighGrayLevelEmphasis
rlm_glnu_3D_avg,3D_original_glrlm_GrayLevelNonUniformity
rlm_glnu_norm_3D_avg,3D_original_glrlm_GrayLevelNonUniformityNormalized
rlm_rlnu_3D_avg,3D_original_glrlm_RunLengthNonUniformity
rlm_rlnu_norm_3D_avg,3D_original_glrlm_RunLengthNonUniformityNormalized
rlm_r_perc_3D_avg,3D_original_glrlm_RunPercentage
rlm_gl_var_3D_avg,3D_original_glrlm_GrayLevelVariance
rlm_rl_var_3D_avg,3D_original_glrlm_RunVariance
rlm_rl_entr_3D_avg,3D_original_glrlm_RunEntropy
rlm_sre_3D_comb,3D_Combined_original_glrlm_ShortRunEmphasis
rlm_lre_3D_comb,3D_Combined_original_glrlm_LongRunEmphasis
rlm_lgre_3D_comb,3D_Combined_original_glrlm_LowGrayLevelRunEmphasis
rlm_hgre_3D_comb,3D_Combined_original_glrlm_HighGrayLevelRunEmphasis
rlm_srlge_3D_comb,3D_Combined_original_glrlm_ShortRunLowGrayLevelEmphasis
rlm_srhge_3D_comb,3D_Combined_original_glrlm_ShortRunHighGrayLevelEmphasis
rlm_lrlge_3D_comb,3D_Combined_original_glrlm_LongRunLowGrayLevelEmphasis
rlm_lrhge_3D_comb,3D_Combined_original_glrlm_LongRunHighGrayLevelEmphasis
rlm_glnu_3D_comb,3D_Combined_original_glrlm_GrayLevelNonUniformity
rlm_glnu_norm_3D_comb,3D_Combined_original_glrlm_GrayLevelNonUniformityNormalized
rlm_rlnu_3D_comb,3D_Combined_original_glrlm_RunLengthNonUniformity
rlm_rlnu_norm_3D_comb,3D_Combined_original_glrlm_RunLengthNonUniformityNormalized
rlm_r_perc_3D_comb,3D_Combined_original_glrlm_RunPercentage
rlm_gl_var_3D_comb,3D_Combined_original_glrlm_GrayLevelVariance
rlm_rl_var_3D_comb,3D_Combined_original_glrlm_RunVariance
rlm_rl_entr_3D_comb,3D_Combined_original_glrlm_RunEntropy
szm_sze_2_5D,2D_original_glszm_SmallAreaEmphasis
szm_lze_2_5D,2D_original_glszm_LargeAreaEmphasis
szm_lgze_2_5D,2D_original_glszm_LowGrayLevelZoneEmphasis
szm_hgze_2_5D,2D_original_glszm_HighGrayLevelZoneEmphasis
szm_szlge_2_5D,2D_original_glszm_SmallAreaLowGrayLevelEmphasis
szm_szhge_2_5D,2D_original_glszm_SmallAreaHighGrayLevelEmphasis
szm_lzlge_2_5D,2D_original_glszm_LargeAreaLowGrayLevelEmphasis
szm_lzhge_2_5D,2D_original_glszm_LargeAreaHighGrayLevelEmphasis
szm_glnu_2_5D,2D_original_glszm_GrayLevelNonUniformity
szm_glnu_norm_2_5D,2D_original_glszm_GrayLevelNonUniformityNormalized
szm_zsnu_2_5D,2D_original_glszm_SizeZoneNonUniformity
szm_zsnu_norm_2_5D,2D_original_glszm_SizeZoneNonUniformityNormalized
szm_z_perc_2_5D,2D_original_glszm_ZonePercentage
szm_gl_var_2_5D,2D_original_glszm_GrayLevelVariance
szm_zs_var_2_5D,2D_original_glszm_ZoneVariance
szm_zs_entr_2_5D,2D_original_glszm_ZoneEntropy
szm_sze_3D,3D_original_glszm_SmallAreaEmphasis
szm_lze_3D,3D_original_glszm_LargeAreaEmphasis
szm_lgze_3D,3D_original_glszm_LowGrayLevelZoneEmphasis
szm_hgze_3D,3D_original_glszm_HighGrayLevelZoneEmphasis
szm_szlge_3D,3D_original_glszm_SmallAreaLowGrayLevelEmphasis
szm_szhge_3D,3D_original_glszm_SmallAreaHighGrayLevelEmphasis
szm_lzlge_3D,3D_original_glszm_LargeAreaLowGrayLevelEmphasis
szm_lzhge_3D,3D_original_glszm_LargeAreaHighGrayLevelEmphasis
szm_glnu_3D,3D_original_glszm_GrayLevelNonUniformity
szm_glnu_norm_3D,3D_original_glszm_GrayLevelNonUniformityNormalized
szm_zsnu_3D,3D_original_glszm_SizeZoneNonUniformity
szm_zsnu_norm_3D,3D_original_glszm_SizeZoneNonUniformityNormalized
szm_z_perc_3D,3D_original_glszm_ZonePercentage
szm_gl_var_3D,3D_original_glszm_GrayLevelVariance
szm_zs_var_3D,3D_original_glszm_ZoneVariance
szm_zs_entr_3D,3D_original_glszm_ZoneEntropy
ngt_coarseness_2_5D,2D_original_ngtdm_Coarseness
ngt_contrast_2_5D,2D_original_ngtdm_Contrast
ngt_busyness_2_5D,2D_original_ngtdm_Busyness
ngt_complexity_2_5D,2D_original_ngtdm_Complexity
ngt_strength_2_5D,2D_original_ngtdm_Strength
ngt_coarseness_3D,3D_original_ngtdm_Coarseness
ngt_contrast_3D,3D_original_ngtdm_Contrast
ngt_busyness_3D,3D_original_ngtdm_Busyness
ngt_complexity_3D,3D_original_ngtdm_Complexity
ngt_strength_3D,3D_original_ngtdm_Strength
ngl_lde_2_5D,2D_original_gldm_SmallDependenceEmphasis
ngl_hde_2_5D,2D_original_gldm_LargeDependenceEmphasis
ngl_lgce_2_5D,2D_original_gldm_LowGrayLevelEmphasis
ngl_hgce_2_5D,2D_original_gldm_HighGrayLevelEmphasis
ngl_ldlge_2_5D,2D_original_gldm_SmallDependenceLowGrayLevelEmphasis
ngl_ldhge_2_5D,2D_original_gldm_SmallDependenceHighGrayLevelEmphasis
ngl_hdlge_2_5D,2D_original_gldm_LargeDependenceLowGrayLevelEmphasis
ngl_hdhge_2_5D,2D_original_gldm_LargeDependenceHighGrayLevelEmphasis
ngl_glnu_2_5D,2D_original_gldm_GrayLevelNonUniformity
ngl_glnu_norm_2_5D,2D_original_firstorder_Uniformity
ngl_dcnu_2_5D,2D_original_gldm_DependenceNonUniformity
ngl_dcnu_norm_2_5D,2D_original_gldm_DependenceNonUniformityNormalized
ngl_gl_var_2_5D,2D_original_gldm_GrayLevelVariance
ngl_dc_var_2_5D,2D_original_gldm_DependenceVariance
ngl_dc_entr_2_5D,2D_original_gldm_DependenceEntropy
ngl_lde_3D,3D_original_gldm_SmallDependenceEmphasis
ngl_hde_3D,3D_original_gldm_LargeDependenceEmphasis
ngl_lgce_3D,3D_original_gldm_LowGrayLevelEmphasis
ngl_hgce_3D,3D_original_gldm_HighGrayLevelEmphasis
ngl_ldlge_3D,3D_original_gldm_SmallDependenceLowGrayLevelEmphasis
ngl_ldhge_3D,3D_original_gldm_SmallDependenceHighGrayLevelEmphasis
ngl_hdlge_3D,3D_original_gldm_LargeDependenceLowGrayLevelEmphasis
ngl_hdhge_3D,3D_original_gldm_LargeDependenceHighGrayLevelEmphasis
ngl_glnu_3D,3D_original_gldm_GrayLevelNonUniformity
ngl_glnu_norm_3D,3D_original_firstorder_Uniformity
ngl_dcnu_3D,3D_original_gldm_DependenceNonUniformity
ngl_dcnu_norm_3D,3D_original_gldm_DependenceNonUniformityNormalized
ngl_gl_var_3D,3D_original_gldm_GrayLevelVariance
ngl_dc_var_3D,3D_original_gldm_DependenceVariance
ngl_dc_entr_3D,3D_original_gldm_DependenceEntropy
